#Powered_by_ParaTranz;;;;;;;;;;;;;x
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;x
GIVE_UNIT_COMMAND_BUTTON;指挥单位;;;;;;;;;;;;x
GIVE_UNIT_COMMANDTITLE;指挥单位;;;;;;;;;;;;x
GIVE_UNIT_COMMAND_DESC;当傀儡国与其宗主国共同作战时，傀儡国将会把其单位的指挥权交予宗主国。;;;;;;;;;;;;x
GIVE_UNIT_COMMAND_OK;要求你的傀儡国收回对他们自己单位的指挥权。;;;;;;;;;;;;x
GIVE_UNIT_COMMAND_CANT_CONTROL;只有当你们在共同作战时，你才可以指挥你的傀儡国?的单位。;;;;;;;;;;;;x
GIVE_UNIT_COMMAND_ALREADY_CONTROL;你已经在指挥他们的单位了。;;;;;;;;;;;;x
CANCEL_UNIT_COMMAND_BUTTON;返还单位;;;;;;;;;;;;x
CANCEL_UNIT_COMMANDTITLE;返还单位;;;;;;;;;;;;x
CANCEL_UNIT_COMMAND_DESC;返还单位;;;;;;;;;;;;x
CANCEL_UNIT_COMMAND_OK;将他们的单位还给他们。;;;;;;;;;;;;x
CANCEL_UNIT_COMMAND_NOT_IN_CONTROL;你不能指挥该单位。;;;;;;;;;;;;x
cut_down_to_size_boxer_setup;迫使中国为拳匪的罪行付出代价。;;;;;;;;;;;;x
cut_down_to_size_boxer_short;迫使中国为拳匪的罪行付出代价。;;;;;;;;;;;;x
LACK_OF_MAINTENANCE_GOODS;缺乏维持物资;;;;;;;;;;;;x
AIREASON_TOO_MANY_CRISIS_WARGOALS;增加战争目标;;;;;;;;;;;;x
AIREASON_NOT_OVERLORD;不是我国的宗主国;;;;;;;;;;;;x
EVTNAME36230;购买北极熊;;;;;;;;;;;;x
EVTDESC36230;扬马延提议开一个好价格购买我们全部的北极熊。他们承诺将对这种尊贵的生物以礼相待。;;;;;;;;;;;;x
EVTOPTA36230;好的！;;;;;;;;;;;;x
EVTOPTB36230;绝不;;;;;;;;;;;;x
EVTNAME36231;购买北极熊—丹麦接受;;;;;;;;;;;;x
EVTDESC36231;丹麦同意将其全部的北极熊售予我们。;;;;;;;;;;;;x
EVTOPTA36231;太棒了！;;;;;;;;;;;;x
EVTNAME36232;购买北极熊—丹麦拒绝;;;;;;;;;;;;x
EVTDESC36232;丹麦拒绝将其全部的北极熊售予我们。;;;;;;;;;;;;x
EVTOPTA36232;哦不！;;;;;;;;;;;;x
the_greenland_purchase_title;购买北极熊;;;;;;;;;;;;x
the_greenland_purchase_desc;一直以来困扰伟大的扬马延人民的一件事是全世界的所有北极熊并没有团结在一面国旗之下。我们应该与丹麦接触，看他们愿不愿意与他们的熊分离。;;;;;;;;;;;;x
bears;熊;;;;;;;;;;;;x
polar_bears;北极熊;;;;;;;;;;;;x
INFLUENCE_SPHERE_NEIGHBOUR;相邻的势力范围成员;;;;;;;;;;;;x
col_liferate_techs;研究以下科技能够帮助改善当地生活条件:;;;;;;;;;;;;x
unite_moldavia_wallachia_title;摩尔达维亚与瓦拉几亚联合！;;;;;;;;;;;;x
unite_moldavia_wallachia_desc;摩尔达维亚与瓦拉几亚两国共同组建了罗马尼亚！;;;;;;;;;;;;x
SOIS_HAS_REBELS_WARNING;叛军已经起而反抗我们的势力范围成员：$LIST$?;;;;;;;;;;;;x
ALLIANCE_INVALID_GPS_IN_CRISIS;当危机?正在进行时，无法建立两个列强?之间的联盟。;;;;;;;;;;;;x
BP_TOOL_ARROW_MEDIUM_1_DASHED;中虚箭头1;;;;;;;;;;;;x
BP_TOOL_ARROW_MEDIUM_2_DASHED;中虚箭头2;;;;;;;;;;;;x
BP_TOOL_ARROW_MEDIUM_3_DASHED;中虚箭头3;;;;;;;;;;;;x
BP_TOOL_ARROW_THICK_DASHED;粗虚箭头;;;;;;;;;;;;x
